73,2
74,2
75,2
47,4
75,4
95,4
9,5
25,5
40,5
81,5
86,6
48,8
15,9
61,9
74,9
47,11
87,11
9,12
78,13
83,13
24,15
94,18
3,19
36,19
57,19
71,20
41,22
41,23
54,23
3,25
69,25
87,25
88,25
43,27
62,27
53,28
3,29
56,29
39,30
48,31
58,31
82,31
68,33
0,35
13,35
26,35
57,35
58,35
69,35
24,37
34,37
23,39
24,39
19,40
17,43
24,43
30,43
68,43
74,46
8,47
10,47
12,47
49,47
57,47
95,47
13,50
15,50
25,50
74,50
61,51
57,52
3,53
2,54
67,56
78,56
24,58
21,62
75,62
98,62
24,63
18,64
92,64
74,67
38,68
44,68
79,68
96,69
43,70
67,74
84,74
11,75
19,75
22,77
24,77
25,77
61,77
74,77
6,82
20,82
16,83
36,83
61,83
43,88
41,89
61,89
69,89
74,89
9,90
52,90
74,94
75,94
77,94
88,94
95,94
67,96
27,97
47,97
66,97
72,97
75,97
25,98
60,98
83,98
